,yield,reactant_smiles,solvent_smiles,base_smiles,product_smiles,id,temperature,reaction_scale,base_amount,reaction_volume,solvent_1,solvent_2,amine_molecular_weight,amine_molecular_volume,amine_surface_area,amine_ovality,amine_hardness,amine_dipole_moment,amine_electronegativity,amine_E_HOMO,amine_E_LOMO,amine_V0_frequency,amine_V0_intensity,amine_V1_frequency,amine_V1_intensity,amine_V2_frequency,amine_V2_intensity,halide_molecular_weight,halide_molecular_volume,halide_surface_area,halide_ovality,halide_hardness,halide_dipole_moment,halide_electronegativity,halide_E_HOMO,halide_E_LOMO,halide_V0_frequency,halide_V0_intensity,halide_V1_frequency,halide_V1_intensity,halide_V2_frequency,halide_V2_intensity,ligand_molecular_weight,ligand_hardness,ligand_dipole_moment,ligand_electronegativity,ligand_E_HOMO,ligand_E_LOMO,ligand_.P1_electrostatic_charge,ligand_.P1_NMR_shift,halide_.C1_electrostatic_charge,halide_.C1_NMR_shift,amine_.N1_electrostatic_charge,amine_.N1_NMR_shift,halide_.C2_electrostatic_charge,halide_.C2_NMR_shift,amine_.C1_electrostatic_charge,amine_.C1_NMR_shift
10,35.13,CC1=CN(C=N1)C2=C(C=C(C=C2)N)OC.CC(=O)N1CC(OC2=C(C1)C=CC(=N2)Cl)C3=CN=CC=C3.C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3C4=CC=CC=C4,COCCOC,C(=O)([O-])[O-].[Cs+].[Cs+],CC1=CN(C=N1)C2=C(C=C(C=C2)NC3=NC4=C(CN(CC(O4)C5=CN=CC=C5)C(=O)C)C=C3)OC,14,100.0,0.00014,0.00042,0.002,7.2,0.45,203.24,220.44836,519.09308,0.63928,0.21004,4.845,0.08345,-0.29348,0.12659,0.0,0.0,0.0,0.0,0.0,0.0,303.74,371.9462,731.87872,0.63597,0.2237,3.1381,0.12621,-0.34991,0.09749,1764.4416,290.5269,602.6907,19.6854,580.7906,2.0222,350.5,0.08518,1.0986,0.10218,-0.18736,-0.017,0.40051,315.5936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,27.8,CC1=CN(C=N1)C2=C(C=C(C=C2)N)OC.CN1CC(OC2=C(C1)C=CC(=N2)Cl)C3=CN=CC=C3.C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3C4=CC=CC=C4,COCCOC,C(=O)([O-])[O-].[Cs+].[Cs+],CC1=CN(C=N1)C2=C(C=C(C=C2)NC3=NC4=C(CN(CC(O4)C5=CN=CC=C5)C)C=C3)OC,15,100.0,0.00024,0.00071,0.002,7.2,0.45,203.24,220.44836,519.09308,0.63928,0.21004,4.845,0.08345,-0.29348,0.12659,0.0,0.0,0.0,0.0,0.0,0.0,275.73,447.32149,666.5343,0.51214,0.22254,5.7799,0.12082,-0.34336,0.10172,1060.9,178.7752,869.2704,17.9605,896.7882,15.8833,350.5,0.08518,1.0986,0.10218,-0.18736,-0.017,0.40051,315.5936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,19.46,CC(C)(C)OC(=O)N.C1=CN=C(C=C1F)Cl.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C1COCCO1,C(=O)([O-])[O-].[Cs+].[Cs+],CC(C)(C)OC(=O)NC1=NC=CC(=C1)F,18,90.0,0.001,8e-05,0.0025,2.25,0.73,117.15,152.16705,269.83319,0.42547,0.31751,2.3446,0.09864,-0.41615,0.21888,0.0,0.0,0.0,0.0,0.0,0.0,131.53,121.93955,277.40765,0.507,0.23548,2.3551,0.14194,-0.37742,0.09354,256.0838,0.2272,418.2664,6.8868,172.7313,0.0184,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751,0.0,0.0,-1.25585,198.1235,-0.66998,99.4896,0.0,0.0
13,34.9,COC1=C(C=CC(=C1)C=O)N.C1=CC2=NC=C(N2C=C1)C3=NC(=NC=C3Cl)Cl.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C1COCCO1,C1CCC2=NCCCN2CC1,COC1=C(C=CC(=C1)C=O)NC2=NC=C(C(=N2)C3=CN=C4N3C=CC=C4)Cl,19,120.0,0.0151,0.00151,0.12,2.25,0.73,151.16,215.7921,378.78061,0.47317,0.1896,5.0845,0.09814,-0.28774,0.09146,0.0,0.0,0.0,0.0,0.0,0.0,265.09,228.22152,597.22021,0.7187,0.17373,4.88,0.12853,-0.30225,0.0452,334.0313,0.4426,1211.5846,259.975,837.119,74.9443,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751,0.0,0.0,-1.01611,184.4927,0.68641,132.1822,0.0,0.0
14,0.0,CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)N.C1COCCN1CC2=CC(=C(C=C2)Br)F.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8,CC1=CC=CC=C1,CCC(C)(C)[O-].[Na+],CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)NC4=C(C=C(C=C4)CN5CCOCC5)F,20,110.0,0.00036,0.00072,0.0015,2.38,-0.36,277.3,289.05845,679.27588,0.69829,0.18835,2.6908,0.121,-0.30935,0.06735,0.0,0.0,0.0,0.0,0.0,0.0,274.13,295.37363,528.88257,0.53591,0.22436,2.1529,0.11338,-0.33775,0.11098,1149.3655,69.9916,1153.3605,41.2271,1193.5387,9.2125,622.7,0.07101,1.2076,0.11505,-0.18606,-0.04403,0.36563,220.8744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)N.C1COCCN1CC2=CC(=C(C=C2)Br)F.CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,CC1=CC=CC=C1,CCC(C)(C)[O-].[Na+],CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)NC4=C(C=C(C=C4)CN5CCOCC5)F,21,110.0,0.00036,0.00072,0.0015,2.38,-0.36,277.3,289.05845,679.27588,0.69829,0.18835,2.6908,0.121,-0.30935,0.06735,0.0,0.0,0.0,0.0,0.0,0.0,274.13,295.37363,528.88257,0.53591,0.22436,2.1529,0.11338,-0.33775,0.11098,1149.3655,69.9916,1153.3605,41.2271,1193.5387,9.2125,304.4,0.09068,0.587,0.10822,-0.1989,-0.01754,0.34163,338.7883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)N.C1COCCN1CC2=CC(=C(C=C2)Br)F.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,CC1=CC=CC=C1,CCC(C)(C)[O-].[Na+],CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)NC4=C(C=C(C=C4)CN5CCOCC5)F,22,110.0,0.00036,0.00072,0.0015,2.38,-0.36,277.3,289.05845,679.27588,0.69829,0.18835,2.6908,0.121,-0.30935,0.06735,0.0,0.0,0.0,0.0,0.0,0.0,274.13,295.37363,528.88257,0.53591,0.22436,2.1529,0.11338,-0.33775,0.11098,1149.3655,69.9916,1153.3605,41.2271,1193.5387,9.2125,262.3,0.09358,1.5716,0.11443,-0.20801,-0.02086,0.32898,285.9261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)N.C1COCCN1CC2=CC(=C(C=C2)Br)F.CC(C1CCCC1P(C2CCCCC2)C3CCCCC3)P(C(C)(C)C)C(C)(C)C.C1CCCC1.[Fe],CC1=CC=CC=C1,CCC(C)(C)[O-].[Na+],CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)NC4=C(C=C(C=C4)CN5CCOCC5)F,23,110.0,0.00036,0.00072,0.0015,2.38,-0.36,277.3,289.05845,679.27588,0.69829,0.18835,2.6908,0.121,-0.30935,0.06735,0.0,0.0,0.0,0.0,0.0,0.0,274.13,295.37363,528.88257,0.53591,0.22436,2.1529,0.11338,-0.33775,0.11098,1149.3655,69.9916,1153.3605,41.2271,1193.5387,9.2125,564.6,0.01593,4.4516,0.15169,-0.16762,-0.13576,0.47376,-583.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)N.C1COCCN1CC2=CC(=C(C=C2)Br)F.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,CC1=CC=CC=C1,CCC(C)(C)[O-].[Na+],CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)NC4=C(C=C(C=C4)CN5CCOCC5)F,24,110.0,0.00036,0.00072,0.0015,2.38,-0.36,277.3,289.05845,679.27588,0.69829,0.18835,2.6908,0.121,-0.30935,0.06735,0.0,0.0,0.0,0.0,0.0,0.0,274.13,295.37363,528.88257,0.53591,0.22436,2.1529,0.11338,-0.33775,0.11098,1149.3655,69.9916,1153.3605,41.2271,1193.5387,9.2125,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)N.C1COCCN1CC2=CC(=C(C=C2)Br)F.COC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4,CC1=CC=CC=C1,CCC(C)(C)[O-].[Na+],CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3F)NC4=C(C=C(C=C4)CN5CCOCC5)F,25,110.0,0.00036,0.00072,0.0015,2.38,-0.36,277.3,289.05845,679.27588,0.69829,0.18835,2.6908,0.121,-0.30935,0.06735,0.0,0.0,0.0,0.0,0.0,0.0,274.13,295.37363,528.88257,0.53591,0.22436,2.1529,0.11338,-0.33775,0.11098,1149.3655,69.9916,1153.3605,41.2271,1193.5387,9.2125,410.5,0.0888,0.7897,0.09389,-0.18269,-0.00509,0.39836,316.2635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,83.06,C1OC2=C(O1)C(=C(C=C2)Cl)N.CC(=O)NC1=NC=CC(=C1)Cl.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,CC(=O)N(C)C,C(=O)([O-])[O-].[Cs+].[Cs+],CC(=O)NC1=NC=CC(=C1)NC2=C(C=CC3=C2OCO3)Cl,26,150.0,0.00583,0.0117,0.024,37.8,2.44,171.58,199.89704,380.95465,0.50079,0.22307,2.0703,0.09041,-0.31347,0.13266,0.0,0.0,0.0,0.0,0.0,0.0,170.59,173.32282,382.11755,0.55243,0.21942,3.1608,0.11902,-0.33845,0.1004,1799.4665,174.5095,68.3652,3.7578,558.5438,21.2448,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751,0.0,0.0,-1.02948,173.6454,0.0,0.0,0.0,0.0
21,42.5,CN1CCC2=C(C1=O)C(=CC=C2)N.C1=C(C(=CN=C1Cl)Cl)I.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C1COCCO1,C(=O)([O-])[O-].[Cs+].[Cs+],CN1CCC2=C(C1=O)C(=CC=C2)NC3=CC(=NC=C3Cl)Cl,27,100.0,0.0183,0.0274,0.1,2.25,0.73,176.21,196.47625,452.57623,0.60182,0.19433,1.913,0.09245,-0.28677,0.10188,0.0,0.0,0.0,0.0,0.0,0.0,273.88,188.51544,338.00253,0.46203,0.21422,1.6351,0.14926,-0.36348,0.06497,171.7979,1.0533,553.0436,1.2775,303.7004,1.153,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,63.33,CN1CCC2=C(C1=O)C(=CC=C2)N.C1=C(C(=CN=C1Cl)Cl)I.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C1COCCO1,C(=O)([O-])[O-].[Cs+].[Cs+],CN1CCC2=C(C1=O)C(=CC=C2)NC3=CC(=NC=C3Cl)Cl,28,100.0,0.00219,0.00329,0.01,2.25,0.73,176.21,196.47625,452.57623,0.60182,0.19433,1.913,0.09245,-0.28677,0.10188,0.0,0.0,0.0,0.0,0.0,0.0,273.88,188.51544,338.00253,0.46203,0.21422,1.6351,0.14926,-0.36348,0.06497,171.7979,1.0533,553.0436,1.2775,303.7004,1.153,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,49.43,CN1CCC2=C(C1=O)C(=CC=C2)N.C1=C(C(=CN=C1Cl)Cl)I.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C1COCCO1,C(=O)([O-])[O-].[Cs+].[Cs+],CN1CCC2=C(C1=O)C(=CC=C2)NC3=CC(=NC=C3Cl)Cl,29,100.0,0.0136,0.0203,0.07,2.25,0.73,176.21,196.47625,452.57623,0.60182,0.19433,1.913,0.09245,-0.28677,0.10188,0.0,0.0,0.0,0.0,0.0,0.0,273.88,188.51544,338.00253,0.46203,0.21422,1.6351,0.14926,-0.36348,0.06497,171.7979,1.0533,553.0436,1.2775,303.7004,1.153,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,59.55,CN1CCC2=C(C1=O)C(=CC=C2)N.C1=C(C(=CN=C1Cl)Cl)I.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C1COCCO1,C(=O)([O-])[O-].[Cs+].[Cs+],CN1CCC2=C(C1=O)C(=CC=C2)NC3=CC(=NC=C3Cl)Cl,30,100.0,0.0511,0.0766,0.3,2.25,0.73,176.21,196.47625,452.57623,0.60182,0.19433,1.913,0.09245,-0.28677,0.10188,0.0,0.0,0.0,0.0,0.0,0.0,273.88,188.51544,338.00253,0.46203,0.21422,1.6351,0.14926,-0.36348,0.06497,171.7979,1.0533,553.0436,1.2775,303.7004,1.153,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,39.07,CONC(=O)C1=CC=CC=C1N.C1=C(C(=CN=C1Cl)Cl)I.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C1COCCO1,C(=O)([O-])[O-].[Cs+].[Cs+],CONC(=O)C1=CC=CC=C1NC2=CC(=NC=C2Cl)Cl,31,100.0,0.274,0.329,0.913,2.25,0.73,166.18,216.14414,408.98138,0.51034,0.19361,1.819,0.10409,-0.2977,0.08952,0.0,0.0,0.0,0.0,0.0,0.0,273.88,188.51544,338.00253,0.46203,0.21422,1.6351,0.14926,-0.36348,0.06497,171.7979,1.0533,553.0436,1.2775,303.7004,1.153,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,69.18,CONC(=O)C1=CC=CC=C1N.C1=C(C(=CN=C1Cl)Cl)I.CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C,C1COCCO1,C(=O)([O-])[O-].[Cs+].[Cs+],CONC(=O)C1=CC=CC=C1NC2=CC(=NC=C2Cl)Cl,32,100.0,0.038,0.0456,0.13,2.25,0.73,166.18,216.14414,408.98138,0.51034,0.19361,1.819,0.10409,-0.2977,0.08952,0.0,0.0,0.0,0.0,0.0,0.0,273.88,188.51544,338.00253,0.46203,0.21422,1.6351,0.14926,-0.36348,0.06497,171.7979,1.0533,553.0436,1.2775,303.7004,1.153,578.6,0.0788,0.3464,0.10129,-0.18009,-0.02249,0.43995,226.1751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
